Date,decLat,decLong,sciName
9/6/16,25.48005,-80.14506,Scarus iseri
9/6/16,25.48005,-80.14506,Scarus iseri
9/6/16,25.48005,-80.14506,Scarus iseri
9/6/16,25.47966,-80.14549,Scarus iseri
9/6/16,25.47966,-80.14549,Scarus iseri
9/6/16,25.48005,-80.14506,Scarus iseri
9/6/16,25.47966,-80.14549,Scarus iseri
9/6/16,25.47966,-80.14549,Scarus iseri
9/6/16,25.47966,-80.14549,Scarus iseri
9/6/16,25.48005,-80.14506,Scarus iseri
9/6/16,25.47966,-80.14549,Scarus iseri
9/6/16,25.48691,-80.14835,Scarus iseri
9/6/16,25.48691,-80.14835,Scarus iseri
9/6/16,25.48691,-80.14835,Scarus iseri
9/6/16,25.48622,-80.14779,Scarus iseri
9/6/16,25.48691,-80.14835,Scarus iseri
9/6/16,25.48622,-80.14779,Scarus iseri
9/6/16,25.48622,-80.14779,Scarus iseri
9/6/16,25.48622,-80.14779,Scarus iseri
9/6/16,25.48622,-80.14779,Scarus iseri
9/6/16,25.48622,-80.14779,Scarus iseri
9/6/16,25.48622,-80.14779,Scarus iseri
9/6/16,25.48622,-80.14779,Scarus iseri
9/6/16,25.48622,-80.14779,Scarus iseri
9/6/16,25.48622,-80.14779,Scarus iseri
9/6/16,25.49097,-80.13687,Scarus iseri
9/6/16,25.49097,-80.13687,Scarus iseri
9/6/16,25.49108,-80.1367,Scarus iseri
9/6/16,25.49097,-80.13687,Scarus iseri
9/6/16,25.49108,-80.1367,Scarus iseri
9/6/16,25.49108,-80.1367,Scarus iseri
9/6/16,25.49097,-80.13687,Scarus iseri
9/6/16,25.49108,-80.1367,Scarus iseri
9/6/16,25.49108,-80.1367,Scarus iseri
9/6/16,25.49108,-80.1367,Scarus iseri
9/6/16,25.49108,-80.1367,Scarus iseri
9/6/16,25.50261,-80.13528,Scarus iseri
9/6/16,25.50261,-80.13528,Scarus iseri
9/6/16,25.50261,-80.13528,Scarus iseri
9/6/16,25.50261,-80.13528,Scarus iseri
9/6/16,25.50261,-80.13528,Scarus iseri
9/6/16,25.50319,-80.13513,Scarus iseri
9/6/16,25.50261,-80.13528,Scarus iseri
9/6/16,25.50261,-80.13528,Scarus iseri
9/6/16,25.50319,-80.13513,Scarus iseri
9/6/16,25.50319,-80.13513,Scarus iseri
9/6/16,25.50319,-80.13513,Scarus iseri
9/6/16,25.50319,-80.13513,Scarus iseri
9/6/16,25.50261,-80.13528,Scarus iseri
9/6/16,25.50261,-80.13528,Scarus iseri
9/6/16,25.50319,-80.13513,Scarus iseri
8/9/16,25.55327,-80.12987,Scarus iseri
8/9/16,25.55327,-80.12987,Scarus iseri
8/9/16,25.55316,-80.12975,Scarus iseri
8/9/16,25.55316,-80.12975,Scarus iseri
8/9/16,25.55316,-80.12975,Scarus iseri
8/9/16,25.55316,-80.12975,Scarus iseri
8/9/16,25.55316,-80.12975,Scarus iseri
8/9/16,25.55327,-80.12987,Scarus iseri
8/9/16,25.55316,-80.12975,Scarus iseri
10/21/16,25.66949,-80.09898,Scarus iseri
10/21/16,25.66949,-80.09898,Scarus iseri
10/21/16,25.66949,-80.09898,Scarus iseri
10/21/16,25.67,-80.09926,Scarus iseri
10/21/16,25.66949,-80.09898,Scarus iseri
10/21/16,25.67,-80.09926,Scarus iseri
10/21/16,25.66949,-80.09898,Scarus iseri
10/21/16,25.66949,-80.09898,Scarus iseri
10/21/16,25.67,-80.09926,Scarus iseri
10/21/16,25.67,-80.09926,Scarus iseri
10/21/16,25.67,-80.09926,Scarus iseri
10/21/16,25.67,-80.09926,Scarus iseri
